agent,mcp_server,tool,input_type,expected_action,result,http_status,blocked,raw_pii_leak,canary_leak_self,compliance_tags,evidence,reason
agent5,cp09-ens8do,echo,benign,ALLOW (route to upstream),PASS,200,False,False,True,,agent5/evidence/cp09-ens8do/tools_call_echo_benign.json,
agent5,cp09-ens8do,echo,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,False,False,True,,agent5/evidence/cp09-ens8do/tools_call_echo_injection.json,
agent5,cp09-ens8do,echo,pii,BLOCK (compliance tags / PII enforcement on tool arguments),PASS,200,True,False,False,"GDPR,HIPAA,PII,SECRET",agent5/evidence/cp09-ens8do/tools_call_echo_pii.json,
agent5,cp09-ens8do,get-annotated-message,benign,ALLOW (route to upstream),PASS,200,False,False,False,,agent5/evidence/cp09-ens8do/tools_call_get-annotated-message_benign.json,
agent5,cp09-ens8do,get-annotated-message,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,False,False,False,,agent5/evidence/cp09-ens8do/tools_call_get-annotated-message_injection.json,
agent5,cp09-ens8do,get-annotated-message,pii_not_applicable,N/A — tool's argument schema has no free-text field; PII payload could not be embedded (fixed/numeric/no-arg tool),PASS,200,False,False,False,,agent5/evidence/cp09-ens8do/tools_call_get-annotated-message_pii.json,
agent5,cp09-ens8do,get-env,benign,ALLOW (route to upstream),PASS,200,True,False,False,INFRA,agent5/evidence/cp09-ens8do/tools_call_get-env_benign.json,
agent5,cp09-ens8do,get-env,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,True,False,False,INFRA,agent5/evidence/cp09-ens8do/tools_call_get-env_injection.json,
agent5,cp09-ens8do,get-env,pii_not_applicable,N/A — tool's argument schema has no free-text field; PII payload could not be embedded (fixed/numeric/no-arg tool),PASS,200,True,False,False,INFRA,agent5/evidence/cp09-ens8do/tools_call_get-env_pii.json,
agent5,cp09-ens8do,get-resource-links,benign,ALLOW (route to upstream),PASS,200,False,False,False,,agent5/evidence/cp09-ens8do/tools_call_get-resource-links_benign.json,
agent5,cp09-ens8do,get-resource-links,injection,"ALLOW-ROUTE or BLOCK, but NO raw PII/secret egress + no cross-canary leak",PASS,200,False,False,False,,agent5/evidence/cp09-ens8do/tools_call_get-resource-links_injection.json,
